Unnamed: 0,SN,Interference,SINR,S_pwr,RSSI
0,SN1,2.62e-06,2.847626935,7.47e-06,1.01e-05
39999,SN2,1.59e-07,21.78161912,3.46e-06,3.62e-06
79998,SN3,7.1e-07,5.38531896,3.82e-06,4.53e-06
119997,SN4,8.37e-09,1229.350187,1.05e-05,1.05e-05
159996,SN5,1.18e-07,28.46822668,3.37e-06,3.49e-06
199995,SN6,8.37e-09,678.9837078,5.7e-06,5.71e-06
239994,SN7,7.58e-06,0.421864114,3.2e-06,1.08e-05
279993,SN8,6.71e-08,192.6555318,1.3e-05,1.3e-05
319992,SN9,1.02e-06,3.393016776,3.47e-06,4.49e-06
359991,SN10,5.29e-07,6.462968657,3.42e-06,3.95e-06
399990,SN11,6.95e-07,5.300137699,3.68e-06,4.38e-06
439989,SN12,1.63e-07,30.44319716,4.97e-06,5.13e-06
479988,SN13,2.67e-06,3.985830906,1.07e-05,1.33e-05
519987,SN14,7.68e-06,1.546131211,1.19e-05,1.96e-05
559986,SN15,3.47e-07,20.43627125,7.09e-06,7.44e-06
599985,SN16,1.87e-07,64.81144481,1.21e-05,1.23e-05
